timestamp,ip,menu,user_agent,referer,language,encoding,host
"2025-11-16 16:22:51",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:27:00",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:31:25",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:31:26",::1,new-restaurant,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:33:06",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:33:09",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:33:10",::1,new-restaurant,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:35:50",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:35:51",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:40:11",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:40:45",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
"2025-11-16 16:42:07",::1,Landing,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",http://localhost:8080/digital-menu-card/,"en-GB,en-US;q=0.9,en;q=0.8","gzip, deflate, br, zstd",localhost:8080
